LocationID,Borough,Zone,Latitude,Longitude
183,Manhattan,Corpses,40.7033,-73.9667
184,Manhattan,Corpus,40.7282,-73.9942
185,Manhattan,Corpuscle,40.7614,-73.9776
186,Manhattan,Corputin,40.7282,-73.9942
187,Manhattan,Corrad,40.7033,-73.9667
188,Manhattan,Corradeira,40.7282,-73.9942
189,Manhattan,Corradeiri,40.7614,-73.9776
190,Manhattan,Corrado,40.7282,-73.9942
191,Manhattan,Corral,40.7033,-73.9667
192,Manhattan,Corrales,40.7282,-73.9942
193,Manhattan,Corrali,40.7614,-73.9776
194,Manhattan,Corralina,40.7282,-73.9942
195,Manhattan,Corraline,40.7033,-73.9667
196,Manhattan,Corrally,40.7282,-73.9942
197,Manhattan,Corrams,40.7614,-73.9776
198,Manhattan,Corran,40.7282,-73.9942
199,Manhattan,Corrana,40.7033,-73.9667
200,Manhattan,Corrans,40.7282,-73.9942
201,Manhattan,Corrans Park,40.7614,-73.9776
202,Manhattan,Corrans Station,40.7282,-73.9942
203,Manhattan,Corrant,40.7033,-73.9667
204,Manhattan,Corrante,40.7282,-73.9942
205,Manhattan,Corrantia,40.7614,-73.9776
206,Manhattan,Corrantina,40.7282,-73.9942
207,Manhattan,Corrao,40.7033,-73.9667
208,Manhattan,Corraon,40.7282,-73.9942
209,Manhattan,Corraona,40.7614,-73.9776
210,Manhattan,Corrapie,40.7282,-73.9942
211,Manhattan,Corrapier,40.7033,-73.9667
212,Manhattan,Corrapiers,40.7282,-73.9942
213,Manhattan,Corras,40.7614,-73.9776
214,Manhattan,Corrassa,40.7282,-73.9942
215,Manhattan,Corrassain,40.7033,-73.9667
216,Manhattan,Corrassina,40.7282,-73.9942
217,Manhattan,Corrassinier,40.7614,-73.9776
218,Manhattan,Corrassle,40.7282,-73.9942
219,Manhattan,Corrat,40.7033,-73.9667
220,Manhattan,Corrate,40.7282,-73.9942
221,Manhattan,Corratea,40.7614,-73.9776
222,Manhattan,Corrateral,40.7282,-73.9942
223,Manhattan,Corrately,40.7033,-73.9667
224,Manhattan,Corrateor,40.7282,-73.9942
225,Manhattan,Corrateour,40.7614,-73.9776
226,Manhattan,Corrateur,40.7282,-73.9942
227,Manhattan,Corratin,40.7033,-73.9667
228,Manhattan,Corrativaus,40.7282,-73.9942
229,Manhattan,Corrativaus Park,40.7614,-73.9776
230,Manhattan,Corrato,40.7282,-73.9942
231,Manhattan,Corratos,40.7033,-73.9667
232,Manhattan,Corratovers,40.7282,-73.9942
233,Manhattan,Corraud,40.7614,-73.9776
234,Manhattan,Corrault,40.7282,-73.9942
235,Manhattan,Corrault Heights,40.7033,-73.9667
236,Manhattan,Corrault Park,40.7282,-73.9942
237,Manhattan,Corrault Station,40.7614,-73.9776
238,Manhattan,Corrave,40.7282,-73.9942
239,Manhattan,Corrave Parks,40.7033,-73.9667
240,Manhattan,Corraveria,40.7282,-73.9942
241,Manhattan,Corravero,40.7614,-73.9776
242,Manhattan,Corraveros,40.7282,-73.9942
243,Manhattan,Corravest,40.7033,-73.9667
244,Manhattan,Corravesta,40.7282,-73.9942
245,Manhattan,Corravestal,40.7614,-73.9776
246,Manhattan,Corravetro,40.7282,-73.9942
247,Manhattan,Corravet,40.7033,-73.9667
248,Manhattan,Corraveton,40.7282,-73.9942
249,Manhattan,Corraveu,40.7614,-73.9776
250,Manhattan,Corraveur,40.7282,-73.9942
251,Manhattan,Crown Heights North,40.6659,-73.9667
252,Manhattan,Crown Heights South,40.6659,-73.9667
253,Manhattan,Cruise,40.7282,-73.9942
254,Manhattan,Cruise Park,40.7614,-73.9776
255,Manhattan,Cruise Park North,40.7282,-73.9942
256,Manhattan,Cruise Park South,40.7033,-73.9667
257,Queens,Cypress Hills,40.6659,-73.8780
258,Manhattan,Cypress,40.7282,-73.9942
259,Bronx,Cypress,40.8513,-73.8673
260,Manhattan,Cypress Point,40.7614,-73.9776
261,Manhattan,Cypress Park,40.7282,-73.9942
262,Manhattan,Cyril,40.7033,-73.9667
263,Manhattan,Cyril Park,40.7282,-73.9942
